Fecha & Hora;PM2,5 (ug/m3);NO2  (ug/m3);O3  (ug/m3)
3/01/13 1:00;4;11,41;28,16
3/01/13 2:00;ND;12,79;17,58
3/01/13 3:00;ND;4,54;21,53
3/01/13 4:00;3;4,01;24,77
3/01/13 5:00;1;4,54;20,66
3/01/13 6:00;ND;5,95;12,99
3/01/13 7:00;1;20,87;2,32
3/01/13 8:00;ND;22,75;6,53
3/01/13 9:00;ND;23,92;15,48
3/01/13 10:00;1;19,19;30,04
3/01/13 11:00;2;8,4;50,79
3/01/13 12:00;ND;7,44;66,23
3/01/13 13:00;ND;7,59;74,75
3/01/13 14:00;ND;11,23;110,78
3/01/13 15:00;9;11,92;119,65
3/01/13 16:00;9;11,64;86,91
3/01/13 17:00;5;22,43;34,79
3/01/13 18:00;1;33,98;21,1
3/01/13 19:00;ND;37,69;7,75
3/01/13 20:00;ND;23,39;7,04
3/01/13 21:00;ND;22,54;6,75
3/01/13 22:00;2;22,77;8,6
3/01/13 23:00;5;16,22;9,67
3/02/13 0:00;2;11,47;14,01
3/02/13 1:00;9;9,57;14,86
3/02/13 2:00;5;8,42;11,73
3/02/13 3:00;ND;9,51;6,48
3/02/13 4:00;ND;13,26;1,63
3/02/13 5:00;ND;8,72;1,1
3/02/13 6:00;ND;6,23;1,16
3/02/13 7:00;ND;5,54;1,24
3/02/13 8:00;5;16,91;2,24
3/02/13 9:00;4;40,25;11,19
3/02/13 10:00;6;24,13;26,59
3/02/13 11:00;7;14,28;52,81
3/02/13 12:00;21;13,77;86,7
3/02/13 13:00;13;10,72;91,68
3/02/13 14:00;23;13,13;117,02
3/02/13 15:00;14;14,56;136,46
3/02/13 16:00;14;13,28;136,48
3/02/13 17:00;13;11,81;121,29
3/02/13 18:00;17;13,39;83,07
3/02/13 19:00;2;25,54;13,01
3/02/13 20:00;2;24,71;3,55
3/02/13 21:00;4;30,44;1,84
3/02/13 22:00;14;39,67;1,43
3/02/13 23:00;14;37,2;6,59
3/03/13 0:00;7;22,19;17,33
3/03/13 1:00;ND;17,23;18,74
3/03/13 2:00;16;23,09;7,36
3/03/13 3:00;11;16,31;10,03
3/03/13 4:00;7;16,56;5,61
3/03/13 5:00;4;16,16;5,69
3/03/13 6:00;5;13,75;6,81
3/03/13 7:00;3;14,39;4,85
3/03/13 8:00;11;15,09;3,18
3/03/13 9:00;5;16,14;10,15
3/03/13 10:00;5;10,49;30
3/03/13 11:00;ND;8,63;57,36
3/03/13 12:00;ND;7,03;75,18
3/03/13 13:00;5;7,29;85,58
3/03/13 14:00;4;10,77;66,72
3/03/13 15:00;ND;8,27;68,15
3/03/13 16:00;ND;9,66;60,52
3/03/13 16:00;ND;10,51;38,25
3/03/13 18:00;ND;15,33;21,82
3/03/13 19:00;ND;20,85;10,54
3/03/13 20:00;ND;23,62;2,39
3/03/13 21:00;ND;30,02;1,1
3/03/13 22:00;8;31,91;1,59
3/03/13 23:00;4;27,54;5,81
3/04/13 0:00;4;21,77;7,48
3/04/13 1:00;2;20,15;7,32
3/04/13 2:00;16;15,52;10,03
3/04/13 3:00;7;21,79;1,96
