Fecha & Hora;PM10 (ug/m3);O3  (ug/m3);Vel Viento  (m/s);Dir Viento (Grados);Temperatura (C°);Humedad (%);Radiacion Solar (Watt/M2);Lluvia (mm)
2013-02-27T00:00:00;ND;0,45;0,6;246,9;ND;77;ND;0
2013-02-27T01:00:00;ND;1,08;0,1;72;ND;80,5;ND;0
2013-02-27T02:00:00;ND;0,82;0,3;260,3;ND;83;ND;0
2013-02-27T03:00:00;ND;4,06;0,3;297,5;ND;82,9;ND;0
2013-02-27T04:00:00;ND;2,08;0,2;85,6;ND;83,2;ND;0
2013-02-27T05:00:00;ND;0,08;0,1;145,5;ND;83,6;ND;0
2013-02-27T06:00:00;ND;0,12;0,2;26,4;ND;84,3;ND;0
2013-02-27T07:00:00;ND;0,04;0,1;57,2;ND;83,9;ND;0
2013-02-27T08:00:00;ND;2,61;0,2;244,8;ND;79;ND;0
2013-02-27T09:00:00;ND;13,64;1;157,8;ND;70,3;ND;0
2013-02-27T10:00:00;ND;28,47;2,1;152,3;ND;63,6;ND;0
2013-02-27T11:00:00;ND;49,02;1,8;148,9;ND;56,1;ND;0
2013-02-27T12:00:00;ND;70,19;1,1;130,4;ND;49,3;ND;0
2013-02-27T13:00:00;ND;ND;ND;ND;ND;ND;ND;ND
2013-02-27T14:00:00;ND;ND;ND;ND;ND;ND;ND;ND
2013-02-27T15:00:00;ND;91,68;0,8;134,7;ND;49,3;ND;0
2013-02-27T16:00:00;ND;96,08;0,1;351,5;ND;49,6;ND;0
2013-02-27T17:00:00;ND;93,66;0,1;42,9;ND;51,6;ND;0
2013-02-27T18:00:00;ND;66,56;0,7;13,1;ND;52,5;ND;0
2013-02-27T19:00:00;ND;18,64;1,2;337,9;ND;52,7;ND;0
2013-02-27T20:00:00;ND;3,61;0,2;83,1;ND;61;ND;0
2013-02-27T21:00:00;ND;16,33;0,7;151,5;ND;67,2;ND;0
2013-02-27T22:00:00;ND;18,76;0,1;156,9;ND;75,8;ND;0
