Fecha & Hora;PM10 (ug/m3);PM2,5 (ug/m3);O3  (ug/m3);Vel Viento  (m/s);Dir Viento (Grados);Temperatura (C°);Humedad (%);Radiacion Solar (Watt/M2);Lluvia (mm)
2014-01-30T11:00:00;ND;ND;61,4;ND;ND;ND;ND;ND;ND
2014-01-30T12:00:00;ND;ND;69,04;ND;ND;27,1;61,9;501,4;0
2014-01-30T13:00:00;ND;ND;93,19;ND;ND;27,4;59,9;326,6;0
2014-01-30T14:00:00;ND;ND;85,03;ND;ND;28,5;54,1;541;0
2014-01-30T15:00:00;ND;ND;52,98;ND;ND;28,4;56,4;248,8;0
2014-01-30T16:00:00;ND;ND;42,37;ND;ND;28,1;52,5;262,1;0
2014-01-30T17:00:00;ND;ND;26,2;ND;ND;27,9;52,4;129;0
2014-01-30T18:00:00;ND;ND;26,63;ND;ND;27,1;53,2;42,4;0
2014-01-30T19:00:00;ND;ND;26,26;ND;ND;24,2;74;0;0
2014-01-30T20:00:00;ND;ND;28,34;ND;ND;23,6;78,2;0;0
2014-01-30T21:00:00;ND;ND;16,39;ND;ND;23;81,6;0;0
2014-01-30T22:00:00;ND;ND;13,54;ND;ND;23,1;79,4;0;0
2014-01-30T23:00:00;ND;ND;1,81;ND;ND;22,8;82,2;0;0
2014-01-31T00:00:00;ND;ND;1,79;ND;ND;22,1;86,2;0;0
2014-01-31T01:00:00;ND;ND;3,22;ND;ND;22,1;86,5;0;0
2014-01-31T02:00:00;ND;ND;4,83;ND;ND;22,1;86,8;0;0
2014-01-31T03:00:00;ND;ND;2,47;ND;ND;21,8;88,5;0;0
2014-01-31T04:00:00;ND;ND;0;ND;ND;21,3;89,8;0;0
2014-01-31T05:00:00;ND;ND;0;ND;ND;21,4;88,4;0;0
2014-01-31T06:00:00;ND;ND;0,1;ND;ND;21,4;88,1;0;0
2014-01-31T07:00:00;ND;ND;0,04;ND;ND;21,1;88,8;27,5;0
2014-01-31T08:00:00;ND;ND;2,3;ND;ND;21,7;85,3;78,7;0
2014-01-31T09:00:00;ND;ND;8,85;ND;ND;22,5;81,8;218,8;0
2014-01-31T10:00:00;ND;ND;16,94;ND;ND;23,8;77,4;339,8;0
2014-01-31T11:00:00;ND;ND;31,4;ND;ND;24,7;70,9;316,7;0
2014-01-31T12:00:00;ND;ND;50,57;ND;ND;25,7;66,9;532,4;0
2014-01-31T13:00:00;ND;ND;62,78;ND;ND;27,2;58,5;678,5;0
2014-01-31T14:00:00;ND;ND;77,73;ND;ND;28,4;53;706;0
2014-01-31T15:00:00;ND;ND;89,29;ND;ND;29;48,5;461,8;0
2014-01-31T16:00:00;ND;ND;97,41;ND;ND;29,1;48,1;380,1;0
2014-01-31T17:00:00;ND;ND;69,39;ND;ND;29,2;48,2;257,5;0
2014-01-31T18:00:00;ND;ND;35,81;ND;ND;28,3;50,6;68,6;0
2014-01-31T19:00:00;ND;ND;16,05;ND;ND;27,4;53,4;18,7;0
2014-01-31T20:00:00;ND;ND;1,63;ND;ND;27;55,3;0;0
2014-01-31T21:00:00;ND;ND;0,71;ND;ND;25,2;65,6;0;0
2014-01-31T22:00:00;ND;ND;1,06;ND;ND;23,6;73,8;0;0
2014-01-31T23:00:00;ND;ND;3,92;ND;ND;23,7;71,7;0;0
2014-02-01T00:00:00;ND;ND;8,38;ND;ND;23,8;71,2;0;0
2014-02-01T01:00:00;ND;ND;8,12;ND;ND;23,6;72;0;0
2014-02-01T02:00:00;ND;ND;10,89;ND;ND;23,4;73,1;0;0
2014-02-01T03:00:00;ND;ND;10,73;ND;ND;23,3;73,1;0;0
