Fecha & Hora;PM10 (ug/m3);SO2  (ug/m3)
08/29/2013 20:00;48,97;ND
08/29/2013 21:00;33,95;ND
08/29/2013 22:00;32,41;ND
08/29/2013 23:00;26,76;ND
08/30/2013 00:00;18,72;ND
08/30/2013 01:00;30,35;ND
08/30/2013 02:00;30,35;ND
08/30/2013 03:00;25,87;ND
08/30/2013 04:00;19,89;ND
08/30/2013 05:00;21,49;ND
08/30/2013 06:00;28,17;ND
08/30/2013 07:00;36,92;ND
08/30/2013 08:00;88,76;ND
08/30/2013 09:00;110,89;ND
08/30/2013 10:00;108,45;ND
08/30/2013 11:00;70,78;ND
08/30/2013 12:00;49,04;ND
08/30/2013 13:00;61,51;ND
08/30/2013 14:00;40,73;ND
08/30/2013 15:00;46,39;ND
08/30/2013 16:00;54,02;ND
08/30/2013 17:00;63,67;ND
08/30/2013 18:00;78,82;ND
08/30/2013 19:00;80,91;ND
08/30/2013 20:00;67,37;ND
08/30/2013 21:00;46,48;ND
08/30/2013 22:00;33,55;ND
08/30/2013 23:00;23,87;ND
08/31/2013 00:00;58,34;ND
08/31/2013 01:00;63,32;ND
08/31/2013 02:00;18,36;ND
08/31/2013 03:00;18,43;ND
08/31/2013 04:00;17,1;ND
08/31/2013 05:00;33,77;ND
08/31/2013 06:00;23,4;ND
08/31/2013 07:00;31,34;ND
08/31/2013 08:00;54,35;ND
08/31/2013 09:00;48,59;ND
08/31/2013 10:00;48,59;ND
08/31/2013 11:00;73,27;ND
08/31/2013 12:00;64,16;ND
08/31/2013 13:00;70,06;ND
08/31/2013 14:00;56,27;ND
08/31/2013 15:00;54,06;ND
08/31/2013 16:00;61,42;ND
08/31/2013 17:00;55,98;ND
08/31/2013 18:00;42,65;ND
08/31/2013 19:00;53,25;ND
08/31/2013 20:00;32,8;ND
08/31/2013 21:00;25,03;ND
08/31/2013 22:00;19,1;ND
08/31/2013 23:00;13,3;ND
41283;10,08;ND
41283,04167;17,22;ND
41283,08333;44,32;ND
41283,125;33,57;ND
41283,16667;51,64;ND
41283,20833;83,47;ND
41283,25;68,59;ND
41283,29167;52,18;ND
41283,33333;56,93;ND
41283,375;75,69;ND
41283,41667;87,05;ND
41283,45833;68,61;ND
41283,5;57,35;ND
41283,54167;52,25;ND
41283,58333;52,94;ND
41283,625;39,87;ND
41283,66667;27,01;ND
41283,70833;28,08;ND
41283,75;32,84;ND
41283,79167;35,14;ND
41283,83333;26,94;ND
41283,875;21,33;ND
