Fecha & Hora;PM10 (ug/m3);SO2  (ug/m3);Vel Viento  (m/s);Dir Viento (Grados);Temperatura (C°);Humedad (%)
06/27/2014 16:00;28,2;ND;ND;ND;ND;ND
06/27/2014 17:00;15,1;ND;ND;ND;ND;ND
06/27/2014 18:00;16,7;ND;ND;ND;ND;ND
06/27/2014 19:00;14,5;ND;ND;ND;ND;ND
06/27/2014 20:00;14,6;ND;ND;ND;ND;ND
06/27/2014 21:00;11,2;ND;ND;ND;ND;ND
06/27/2014 22:00;12,2;ND;ND;ND;ND;ND
06/27/2014 23:00;50,9;ND;ND;ND;ND;ND
06/28/2014 00:00;68;ND;ND;ND;ND;ND
06/28/2014 01:00;37,3;ND;ND;ND;ND;ND
06/28/2014 02:00;31,2;ND;ND;ND;ND;ND
06/28/2014 03:00;29,3;ND;ND;ND;ND;ND
06/28/2014 04:00;27,5;ND;ND;ND;ND;ND
06/28/2014 05:00;34;ND;ND;ND;ND;ND
06/28/2014 06:00;29,6;ND;ND;ND;ND;ND
06/28/2014 07:00;30,6;ND;ND;ND;ND;ND
06/28/2014 08:00;37,2;ND;ND;ND;ND;ND
06/28/2014 09:00;45,2;ND;ND;ND;ND;ND
06/28/2014 10:00;44,2;ND;ND;ND;ND;ND
06/28/2014 11:00;39,3;ND;ND;ND;ND;ND
06/28/2014 12:00;36,8;ND;ND;ND;ND;ND
06/28/2014 13:00;37,2;ND;ND;ND;ND;ND
06/28/2014 14:00;37,2;ND;ND;ND;ND;ND
06/28/2014 15:00;45,7;ND;ND;ND;ND;ND
06/28/2014 16:00;52,3;ND;ND;ND;ND;ND
06/28/2014 17:00;52,7;ND;ND;ND;ND;ND
06/28/2014 18:00;51,6;ND;ND;ND;ND;ND
06/28/2014 19:00;51,6;ND;ND;ND;ND;ND
06/28/2014 20:00;34,8;ND;ND;ND;ND;ND
06/28/2014 21:00;53,9;ND;ND;ND;ND;ND
06/28/2014 22:00;42,7;ND;ND;ND;ND;ND
06/28/2014 23:00;57,8;ND;ND;ND;ND;ND
06/29/2014 00:00;36,5;ND;ND;ND;ND;ND
06/29/2014 01:00;68,3;ND;ND;ND;ND;ND
06/29/2014 02:00;70,3;ND;ND;ND;ND;ND
06/29/2014 03:00;68,5;ND;ND;ND;ND;ND
06/29/2014 04:00;46,5;ND;ND;ND;ND;ND
06/29/2014 05:00;57,2;ND;ND;ND;ND;ND
06/29/2014 06:00;47,5;ND;ND;ND;ND;ND
06/29/2014 07:00;53,8;ND;ND;ND;ND;ND
06/29/2014 08:00;61,4;ND;ND;ND;ND;ND
06/29/2014 09:00;69,1;ND;ND;ND;ND;ND
06/29/2014 10:00;70,3;ND;ND;ND;ND;ND
06/29/2014 11:00;56,6;ND;ND;ND;ND;ND
06/29/2014 12:00;30,6;ND;ND;ND;ND;ND
06/29/2014 13:00;45;ND;ND;ND;ND;ND
06/29/2014 14:00;59,2;ND;ND;ND;ND;ND
06/29/2014 15:00;51,2;ND;ND;ND;ND;ND
06/29/2014 16:00;25,6;ND;ND;ND;ND;ND
06/29/2014 17:00;22,7;ND;ND;ND;ND;ND
06/29/2014 18:00;22,1;ND;ND;ND;ND;ND
06/29/2014 19:00;20,7;ND;ND;ND;ND;ND
06/29/2014 20:00;15;ND;ND;ND;ND;ND
06/29/2014 21:00;12,1;ND;ND;ND;ND;ND
06/29/2014 22:00;12;ND;ND;ND;ND;ND
